Target protein	Relation	Molecular #0	Molecular score #0	Relation	score	DEG	Weight	MF	MF_score	Weight	BP	BP_score	Weight	PH	Score
EGFR#P	Undirected Signaling	LMNA#P	6.87631502076889e-06	Undirected Signaling	6.87631502076889e-06	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	-0.08845459393266025
EGFR#P	Undirected Signaling	LMNA#P	6.87631502076889e-06	Undirected Signaling	6.87631502076889e-06	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	-0.011851329294843727
EGFR#P	Undirected Signaling	EMD#P	2.56672826694653e-07	Undirected Signaling	2.56672826694653e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	-0.08845459393266025
EGFR#P	Undirected Signaling	EMD#P	2.56672826694653e-07	Undirected Signaling	2.56672826694653e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	-0.011851329294843727
EGFR#P	Undirected Signaling	OSMR#P	3.53552647197737e-07	Undirected Signaling	3.53552647197737e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	-0.08845459393266025
EGFR#P	Undirected Signaling	OSMR#P	3.53552647197737e-07	Undirected Signaling	3.53552647197737e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	-0.011851329294843727
EGFR#P	Undirected Signaling	ERBB3#P	1.45184879838313e-07	Undirected Signaling	1.45184879838313e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	-0.08845459393266025
EGFR#P	Undirected Signaling	ERBB3#P	1.45184879838313e-07	Undirected Signaling	1.45184879838313e-07	EGF	-0.1708914339542389	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	-0.011851329294843727
EGFR#P	Undirected Signaling	PRKACA#P			0.0	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	0.014437798410654068	negative regulation of DNA binding	-0.03559797257184982	-2.3152949810028076	Breast cancer	0.10033852324780639
EGFR#P	Undirected Signaling	PRKACA#P			0.0	PRKACA	0.01790168322622776	protein binding	0.0011797361075878143	-0.0457596518099308	positive regulation of protein binding	0.0807635560631752	1.9698747396469116	Breast cancer	0.17694178788562293
