DCID	Label	Drugs	Target
DC000348	N	tetracycline|metronidazole|bismuth subsalicylate	PRNP
DC000349	N	timolol|brimonidine	ADRA2B|ADRB2|ADRB1|ADRA2A|ADRA2C
DC000350	N	betamethasone|calcipotriol	NR3C1|VDR
DC000351	N	betamethasone|clotrimazole	KCNN4|NR3C1
DC000352	N	cerulenin|levodopa	DRD1|FASN|DRD2|DRD3|DRD5|DRD4
DC000353	N	heparin|chitosan	F10|HRH2|SERPINC1|SELP
DC000354	N	brompheniramine|dextromethorphan|pseudoephedrine	SLC6A3|ADRB2|HRH1|GRIN3A|ADRB1|SIGMAR1|ADRA2A|SLC6A4|CHRM3|ADRA1A|CHRM5|CHRM1|SLC6A2|CHRM4|CHRNA2|CHRM2
DC000355	N	formoterol|budesonide	ADRB2|NR3C1
DC000358	N	citicoline|nimodipine	CACNA1C|NR3C2|CACNA1D|CACNB3|CACNB4|CACNA1S|AHR|CACNB2|CACNA1F|CACNB1
DC000359	N	etoposide|bortezomib	PSMB5|TOP2A|PSMB1|PSMB2|TOP2B|PSMD2|PSMD1
DC000360	N	dasatinib|oxaliplatin	ABL1|LCK|FYN|EPHA2|ABL2|SRC|YES1|PDGFRB|STAT5B|KIT
DC000361	N	ramipril|candesartan	ACE|AGTR1
DC000362	N	docetaxel|irinotecan	MAP4|MAP2|TOP1|TOP1MT|BCL2|MAPT|TUBB1
DC000364	N	clioquinol|docosahexaenoic acid|gw6471	NOS3|NOS2
DC000365	N	rifampin|daptomycin	NR1I2
DC000366	N	potassium oxonate|5-2,4-dihydroxypyrimidine|tegafur|gemcitabine	TACR1|GSTA2|TYMS|RRM1|GRIN3A|CMPK1
DC000367	N	bq-123|enalapril	ACE
DC000368	N	potassium oxonate|cisplatin|tegafur|5-2,4-dihydroxypyrimidine	TACR1|GSTA2|GRIN3A
DC000370	N	bevacizumab|erlotinib	C1QA|FCGR2B|FCGR2A|FCGR2C|C1R|C1QC|C1QB|FCGR3B|VEGFA|NR1I2|EGFR|FCGR3A|FCGR1A
DC000371	N	vancomycin|gentamicin	LRP2
DC000372	N	cytarabine|dexamethasone|bortezomib	PSMB5|PSMB1|PSMD1|PSMB2|NOS2|POLB|PSMD2|NR3C1|ANXA1|NR0B1
DC000373	N	paclitaxel|peloruside a	MAP4|MAP2|BCL2|NR1I2|MAPT|TUBB1
DC000374	P	trabectedin|paclitaxel	MAP4|MAP2|BCL2|NR1I2|MAPT|TUBB1
DC000375	N	paclitaxel|discodermolide	MAP4|MAP2|BCL2|NR1I2|MAPT|TUBB1
DC000376	N	potassium oxonate|5-2,4-dihydroxypyrimidine|tegafur|irinotecan	TOP1|TACR1|GSTA2|TOP1MT|GRIN3A
DC000377	N	mitomycin|potassium oxonate|tegafur|5-2,4-dihydroxypyrimidine	TACR1|GSTA2|GRIN3A
DC000378	N	potassium oxonate|5-2,4-dihydroxypyrimidine|tegafur|doxorubicin	TACR1|GSTA2|TOP2A|GRIN3A
DC000380	N	potassium oxonate|5-2,4-dihydroxypyrimidine|tegafur|paclitaxel	MAP4|MAP2|TACR1|GSTA2|BCL2|NR1I2|MAPT|GRIN3A|TUBB1
DC000382	N	fluorouracil|sc144	TYMS|RRM2
DC000383	N	sc144|oxaliplatin	RRM2
DC000384	N	cisplatin|gemcitabine	TYMS|CMPK1|RRM1
DC000385	N	methylene blue|mefloquine	DPP4|ADORA2A|HBA1
