goserelin	LHCGR|GNRHR
desmopressin	AVPR2|AVPR1A|AVPR1B
cetrorelix	GNRHR
ciclosporin	CAMLG|PPP3R2
octreotide	SSTR1|SSTR5|SSTR2
cyanocobalamin	MTR|MUT
alpha-linolenic acid	FADS1|FADS2
calcitriol	VDR
riboflavin	RFK|BLVRB
calcifediol	VDR
creatine	CKM|CKB|CKMT2|SLC6A8|GAMT
thiamine	TPK1
ergocalciferol	VDR
icosapent	PTGS2|PTGS1|PPARG|PPARD|FFAR1|SLC8A1
pyridoxine	PDXK
cholecalciferol	VDR
menadione	GGCX|VKORC1|VKORC1L1
pravastatin	HMGCR
fluvoxamine	SLC6A4
valsartan	AGTR1
ramipril	ACE
masoprocol	ALOX5
flunisolide	NR3C1
baclofen	GABBR1|GABBR2
amphetamine	SLC18A2|SLC6A3|CARTPT|TAAR1|MAOA
pentagastrin	CCKBR
nicotine	CHRNA4|CHRNB2
cevimeline	CHRM3|CHRM1
lorazepam	GABRA1
esmolol	ADRB1
bortezomib	PSMB5|PSMB1
ethchlorvynol	GABRA1
carbidopa	DDC
phentermine	SLC6A2|SLC6A4|SLC6A3|MAOA|MAOB
indecainide	SCN5A
tramadol	OPRM1|SLC6A2|SLC6A4
betaxolol	ADRB1
oseltamivir	CES1
hydroxocobalamin	MTR|MUT
caffeine	ADORA1|ADORA2A
succinylcholine	CHRNA10|CHRM1
sildenafil	PDE5A
dofetilide	KCNH2|KCNK2|KCNJ12
pyrimethamine	DHFR
reserpine	SLC18A2
ticlopidine	P2RY12
adapalene	RARG|RARB|RXRG|RXRB|PTGS2
midodrine	ADRA1A|ADRA1B
pantoprazole	ATP4A
torasemide	SLC12A1
citalopram	SLC6A4
eletriptan	HTR1D|HTR1B|HTR1F
bethanidine	ADRA2A|KCNJ1
oxyphenonium	CHRM1
isoetarine	ADRB1
glimepiride	KCNJ11|KCNJ1|ABCC8
diflorasone	NR3C1
guanadrel	SLC6A2
lovastatin	HMGCR
enflurane	GABRA1|GLRA1|KCNA1|ATP2C1|GRIA1
pregabalin	CACNA1A
temazepam	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRG1|GABRG2|GABRG3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRQ|GABRA1
