aminoglutethimide	CYP19A1#P|CYP11A1#P	PNKP#P|XIST#P|RPS4Y1#P|MYLK#P
oxaprozin	PTGS1#P|PTGS2#P	PIK3CA#P|E2F2#P
bortezomib	PSMB5#P|PSMB1#P	PLK1#P|NUP85#P|SNX6#P|SART3#P|FOXM1#P|SEC62#P|S100A13#P|ALDH4A1#P|HBEGF#P|CCNB2#P|TES#P|MLPH#P|SLC7A11#P|HMGXB3#P|P3H1#P|LIG1#P|DBF4#P|PARPBP#P|HMG20B#P|PGAM1#P|GFRA1#P|WIPI1#P|HEBP1#P|TSPAN3#P|S100A4#P|SLC26A6#P|MUC1#P|TGFB3#P|AFF4#P|MTCH2#P|ENTPD7#P|CASC3#P|TRIB1#P|UBE3C#P|CYTH1#P|NDEL1#P|AKR7A3#P|TUFT1#P|BRCA1#P|FAM20B#P|FASTKD5#P|PSME2#P|NFKBIA#P|BUB1#P|USP47#P|CCP110#P|ITGAE#P|NRIP1#P|ALAS1#P|EIF5#P|HIST1H2BK#P|ELP4#P|TM9SF2#P|IL11#P|ECH1#P|WNT11#P|IER3#P|RNMT#P|MAN2B1#P|OSBPL2#P|MAD2L1#P|LRP10#P|ALDOC#P|YEATS4#P|JADE2#P|SERINC3#P|C2orf42#P|SRP9#P|MYO10#P|MELK#P|FOSL1#P|PIGA#P|BTAF1#P|CDC25B#P|RPRD1A#P|NAT1#P|AKAP8L#P|TXNRD1#P|CCDC130#P|MTERF3#P|WDR61#P|PHIP#P|TERF2IP#P|CENPF#P|MRPL57#P|NHP2#P|HMGN2#P|IFRD1#P|MED8#P|USP1#P|STUB1#P|SENP6#P|CKS1B#P|PCGF1#P|RNASEH2A#P|MAFG#P|NFIL3#P|TSPAN4#P|KIF20A#P|SLC35F2#P|NUP62#P|DNM1L#P|SLC35B1#P|HMGB1#P|ZC3H7A#P|RACGAP1#P|KIF22#P|LAMB3#P|CDK4#P|CLK3#P|DEPDC1#P|ESR1#P|SERINC1#P|RRP12#P|PBK#P|GLRX#P|CD320#P|SCAND1#P|XBP1#P|AHCYL2#P|AATK#P|KLC1#P|SMC2#P|CHEK1#P|MPC2#P|LUZP1#P|HMGCR#P|GINS2#P|KCTD13#P|ANKRD11#P|TMPO#P|TPX2#P|FBXO5#P|GOLGB1#P|SUV39H1#P|CHMP4A#P|ADGRE5#P|SIN3B#P|YKT6#P|CCNA2#P|KIAA0753#P|SMURF1#P|MAP7#P|P4HA2#P|MCM3#P|DCP1A#P|IGHMBP2#P|CENPA#P|CENPM#P|BAG3#P|TSC22D3#P|DDX42#P|PSMD2#P|CASK#P|GMNN#P|NCK2#P|TCEAL4#P|CSNK1E#P|POLD2#P|AMDHD2#P|BNIP3#P|HMGCS1#P|WRB#P|DNAJB1#P|PPP1R15A#P|MIF#P|RAD9A#P|CTH#P|GALE#P|KCMF1#P|PLEKHO2#P|PRKRIP1#P|PHGDH#P|ISOC1#P|GTPBP1#P|CNOT4#P|TMEM106C#P|NEU1#P|GFOD1#P|TMEM109#P|EIF1#P|LSM2#P|AKR7A2#P|CENPU#P|HGS#P|ABL1#P|HMOX1#P|CHEK2#P|BECN1#P|ATP2C1#P|DCTPP1#P|NEK2#P|EPRS#P|PLA2G15#P|KIAA0319#P|IGF2BP2#P|IARS2#P|PPP2R5B#P|KDELR2#P|PRPF4#P|CNDP2#P|PRSS23#P|OIP5#P|NPDC1#P|ECT2#P|AHSA1#P|DCXR#P|DCK#P|MRPL12#P|SETX#P|RBM6#P|IKZF5#P|TFDP1#P|PSMD12#P|SMC4#P|TOP2A#P|AMPD2#P|HMGB2#P|NR2F6#P|NUP37#P|ATF3#P|TP53#P|CDCA4#P|RBM22#P|ERCC3#P|ATG4A#P|CDT1#P|NXF1#P|ESRP2#P|PSRC1#P|ERH#P|LAGE3#P|NET1#P|SIRT7#P|KIF11#P|SAR1A#P|FYN#P|PARP1#P|GPATCH8#P|VRK1#P|JUN#P|NUCB2#P|SCRN1#P|HSPA5#P|CREB3L2#P|TROAP#P|FXR1#P|GOSR2#P|MCOLN1#P|RFC5#P|LARP6#P|TAX1BP1#P|FRS2#P|CCNF#P|H2AFZ#P|TARS#P|PTTG1#P|CIR1#P|HJURP#P|NUCKS1#P|HSD17B10#P|NNT#P|IFRD2#P|DSCC1#P|RAE1#P|TSEN2#P|ULK1#P|MTHFD2#P|ICMT#P|NSL1#P|HSPA9#P|B3GALNT1#P|H2AFX#P|NCAPG2#P|ABCD3#P|CDCA8#P|AP5Z1#P|STX1A#P|ITGB3BP#P|ELF4#P|KIF23#P|DNAJC15#P|ABCF3#P|BHLHE40#P|ACBD3#P|CLCF1#P|TMEM50A#P|SPAG9#P|MRPL15#P|DRAP1#P|LMNB2#P|BSDC1#P|PXMP2#P|EMC9#P|IGF2R#P|HERPUD1#P|HSPA6#P|TTK#P|DERA#P|SQSTM1#P|RPIA#P|SLC2A4RG#P|DLGAP5#P|FANCI#P|TMX1#P|STMN1#P|TIMM9#P|CDK2#P|CYLD#P|ARMT1#P|FOXO4#P|KIF14#P|ATP5S#P|ELP5#P|KDM5A#P|EPB41L2#P|CBX3#P|C2CD2#P|GNL2#P|DHDDS#P|C2CD5#P|PHF1#P|RUVBL1#P|TACC3#P|HECA#P|ELL2#P|BRAP#P|GLOD4#P|TK1#P|ITCH#P|TRIP4#P|TFF3#P|AKT1#P|ANO10#P|PPARG#P|ATF4#P|ZWINT#P|KIF18B#P|NSDHL#P|PRC1#P|CDKN1A#P|ANXA9#P|MTCH1#P|ZNF473#P|SMARCD2#P|GABARAPL1#P|POLR3K#P|DNAJB2#P|GFPT1#P|KLHL18#P|GTF3C3#P|NDRG1#P|TRMT5#P|GRB10#P|DDIT3#P|TRIP13#P|LGMN#P|RGS2#P|MKRN1#P|SERPINH1#P|TTC4#P|SPC25#P|SIVA1#P|PCCB#P|COQ2#P|GEMIN2#P|ARID4B#P|ULBP2#P|TFIP11#P|CAPN1#P|WEE1#P|AURKB#P|TP53BP1#P|CIRBP#P|ELOVL6#P|IMP3#P|RSRC2#P|MRPS7#P|MRPS11#P|KDM6B#P|GATA3#P|ZDHHC18#P|ABTB2#P|BLMH#P|OXCT1#P|DHFR#P|EIF2AK3#P|MRPL24#P|NCAPG#P|GADD45A#P|PHKG2#P|BAMBI#P|BDH1#P|IP6K2#P|YARS#P|RFC3#P|ADI1#P|COA1#P|ASF1B#P|TBL2#P|PSMG1#P|MAP1LC3B#P|NTHL1#P|RMI1#P|USP16#P|BTN2A1#P|AKAP17A#P|CDCA3#P|LSM5#P|SPDEF#P|AURKA#P|EDEM1#P|PPA2#P|ABHD4#P|TIMELESS#P|CSNK2A2#P|MCCC2#P|HSP90B1#P|PYCR1#P|TP53BP2#P|B4GALT4#P|RLF#P|COPB2#P|ERBB3#P|MICALL1#P|HSPA1A#P|FIS1#P|PI4K2A#P|CALCOCO2#P|KLHDC2#P|TMEM2#P|DUT#P|KDM4A#P|MYC#P|LIN37#P|CCDC92#P|TNIP1#P|HDLBP#P|UFM1#P|PLEKHF2#P|DNAJC3#P|ARHGEF2#P|BRF2#P|CTSL#P|ZNF394#P|CBLB#P|IST1#P|CDC7#P|KDM3A#P|LMNB1#P|CBX5#P|ZBTB43#P|LPGAT1#P|DHRS7#P|BIRC5#P|CASP7#P|TJAP1#P|MCM4#P|CRIP2#P|COA3#P|YPEL5#P|KIF15#P|FKBP14#P|DECR1#P|IPO9#P|ASPM#P|LYPLA1#P|MAPKBP1#P|GTSE1#P|CALU#P|GOLT1B#P|FEN1#P|INPP1#P|GABPB1#P|NEIL3#P|SRSF1#P|ZRSR2#P|CDKN3#P|DNAJB9#P|POLR2L#P|DDIT4#P|CISD1#P|FOXO3#P|MRPL20#P|HDAC6#P|FKBP3#P|KIF4A#P|UBAP1#P|MARK4#P|MRPS16#P|RAD51AP1#P|ERO1A#P|SND1#P|TRIM2#P|ESPL1#P|PPME1#P|MMP1#P|MTHFD1#P|MRPS34#P|PEX11B#P|BCL7B#P|SLC35A1#P|PKMYT1#P|SCP2#P|GID4#P|CDK1#P|HSPD1#P|KCTD5#P|NDC80#P|MCM2#P|PSME1#P|HACD3#P|UBE2C#P|KEAP1#P|C3orf14#P|POFUT2#P|DDB2#P|SKP2#P|NUDCD3#P|CEP55#P|B4GAT1#P|TUBB6#P|CHAC1#P|PRIM1#P|NCAPH#P|VPS54#P|ELL#P|KLHL21#P|MYBL2#P|RAD54B#P|CRELD1#P|NUDT1#P|ALOXE3#P|NDUFA7#P|RPA3#P|HSPA1L#P|ZNF212#P|BTBD7#P|NUSAP1#P|CTSD#P|CDC45#P|DTYMK#P|PLCB3#P|LSM6#P|TSPYL2#P|PCMT1#P|PLEKHM2#P|HYOU1#P|CDC20#P|SLC3A2#P|ARHGAP1#P|RYBP#P|POLE2#P|GCC1#P|HIST1H2BH#P|RFX5#P|SPTLC2#P|NPC1#P|UQCR10#P|EED#P|PCNA#P|HMMR#P|JMJD6#P|MAN2A2#P|DTL#P|GINS1#P|MIR22HG#P|SNRNP25#P|TOMM34#P|LRP12#P|ZDHHC6#P|HADH#P|KLHL24#P|LSM4#P|HDAC5#P|RB1#P|ANKRD12#P|PDHX#P|PAFAH1B3#P|UNG#P|DNAJC9#P|DSTYK#P|PYGL#P|PBX1#P|ARCN1#P|DNTTIP2#P|GORASP2#P|KLHDC10#P|UBR7#P|TXNL4B#P|HNRNPD#P|MYCBP#P|BRAF#P|TFG#P|ASXL1#P|PSIP1#P|MOSPD1#P|TYMS#P|TFF1#P|CCNB1#P|IL4R#P|HINFP#P|MSH6#P|HIST2H2BE#P|PMAIP1#P|TMEM39A#P|HES1#P|RAD51C#P
propafenone	SCN5A#P|KCNH2#P	CRK#P|GNAI1#P|RPS4Y1#P
imiquimod	TLR7#P	PNKP#P|RPS4Y1#P|XIST#P|PCNA#P
nicardipine	CACNA1C#P|CACNB2#P|CACNA2D1#P|CACNA1D#P	MAP7#P|PNKP#P
cyproheptadine	HRH1#P|HTR2A#P|HTR2C#P	PCNA#P
selegiline	MAOB#P	CRIP1#P
calcitriol	VDR#P	E2F2#P|KIF2C#P|IKZF1#P|ADGRE5#P|NFKBIA#P|TSKU#P|TCEA2#P|MYLK#P|CRIP1#P|GNAI1#P
ramelteon	MTNR1A#P|MTNR1B#P	MYLK#P|XIST#P|RPS4Y1#P
dutasteride	SRD5A2#P|SRD5A1#P	SNAP25#P|HSPA8#P
